agi	family
At5g65130	ERF
AT5G65210	AT5G65210
At5g65230	MYB
AT5G65310	AT5G65310
At5g65320	bHLH
AT5G65330	MADS-box
AT5G65410	ZF-HD
AT5G65510	AT5G65510
At5g65590	C2C2-Dof
At5g65640	bHLH
AT5G65670	unk-aux
At5g65790	MYB
At5g66300	NAC
At5g66320	C2C2-GATA-Family
AT5G66350	SRS
AT5G66610	LIM
AT5G66620	LIM
AT5G66630	LIM
AT5G66700	Homeobox
AT5G66730	General-C2H2
AT5G66750	SNF2
AT5G66770	GRAS
AT5G66870	General-AS2
At5g66940	C2C2-Dof
At5g66980	ABI3-VP1
AT5G66990	Nin-like
At5g67000	At5g67000
At5g67010	ERF
AT5G67030	FHA
AT5G67060	bHLH
At5g67110	bHLH
AT5G67180	ERF
At5g67190	ERF
At5g67300	At5g67300
AT5G67411	GRAS
AT5G67420	General-AS2
AT5G67430	GNAT
AT5G67450	AT5G67450
AT5G67480	TAZ
At5g67580	TPB-like
ATMG00940	General-ARF
